class,tweet
1," #Moscow, rallies in support of the Russian military operation in #Ukraine#UkraineRussianWar https://t.co/yebQiIScYt"
1,#UkraineRussianWar Russian forces have been confirmed to have re-taken the M-06 earlier today between Zhytomyr-Kyi https://t.co/oKN3VxTj2g
0,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"#UkraineRussianWar Ukrainian forces have pulled back again from Irpin, Bucha, and Hostomel to the Northwest of of https://t.co/TA86TAbD6S"
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/jpDMMxT1i8
1,"RT @OBC__Media: African students in Sumy are protesting for the Ukrainian Army to allow them leave the town.The students were chanting, cL"
0,"@binance Don't Miss Out, #BUY &amp; #HODL @RichQuacKLock Your $Quack in your wallet#HODL FYDL2 @RichQuack 2 https://t.co/QZ2xbjLJl1"
1,RT @ReflectionsV2: RUSSIA's PRESIDENT PUTIN#UkraineRussianWar #UkraineUnderAtta\xd1\x81k #UkraineWar #Russian #RussianArmy #NATONoFlyZone \xa5
0,RT @KingsleySmuggy: courageous russians shouting cno to war!d in st. petersburg tonight.#UkraineRussianWar #russianinvasion #UkraineUnde
1,"RT @ValerioLeone: symbols that become icons, icons that lead to destruction#UkraineRussianWar #UkraineUnderAtta\xd1\x81k #UkraineRussiaWar https:"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,"RT @Prodigi0_1: The concert in Cuenca had planned to start with another composition, but instead, the Russian director Dima Slobodeniouk"
0,CONDEMN WAR- CRIMES #UkraineRussianWar #WarCrimes #UN #HRW https://t.co/VuikrNDl8i
1,RT @BleedingMarine: Trump withheld military aid to Ukraine and tried to extort Zelenskyy. He wanted to dismantle NATO but was stopped. He c
0,RT @NaamTamilarOrg: It is strongly condemnable that the Indian Embassy in Poland prioritized students from the North in the rescue operatio
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/8jEOgh4QCy
1,RT @donetekk: Ukrainia  #UkraineRussianWar https://t.co/uAlRP9aJT6
1,RT @Ziakhaaan:  Massive protest of Russians in Moscow against the war in Ukraine.#Ukrain #RussianUkrainianWar #UkraineRussianWar https:/
0,RT @Ayoubkhayatii: finally somebody speaking about the hypocrisy and double standards of the ''whites'' #UkraineRussianWar https://t.co/bCN
1,"RT @ZeeNewsEnglish: ""Talked to Elon Musk. I`m grateful to him for supporting Ukraine with words and deeds,"" Zelenskiy tweeted#UkraineRuss"
0,"RT @Prodigi0_1: #Russia Crowds also out in St. Petersburg today too, outside St. Isaac's Cathedral chanting cNo to war!dManifestacion tam"
1,RT @salwangeorges: George Keburia said goodbye to his wife Maya and his children at the train station in Odessa #Ukraine tonight as they he
1,"Johnson to tell leaders match your words with your action over Ukraine..If only he was not a corrupt, Lying, sel https://t.co/KcpPjmpPKO"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,RT @salwangeorges: George Keburia said goodbye to his wife Maya and his children at the train station in Odessa #Ukraine tonight as they he
1,RT @kk131066: https://t.co/cRicVDATVlWWIII - a real possibility bcz of people who ignore #Truth It's their support that inspires politi
0,RT @defensesentinel: Footage Reveals that Russian forces fired on a corridor that was made for civilians who were willing to evacuate in th
0,#vinnytsia airfield was unfortunately destroyed by #Russian occupiers. This is one of the missile flying. https://t.co/y2DEYDxhiF
0,"RT @AnonOpsSE: Meanwhile in Russia, citizens doesn't know what's really happening in #Ukraine #UkraineUnderAtta\xd1\x81k #UkraineRussianWar #Pu"
1,RT @shoaibp82473501: Humanity still exists but only for people of Europe#UkraineRussianWar#Palestine#Putin #UkraineRussianWar#RussianUk
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,RT @theJeremyVine: Very moving image; the caption is heartbreaking. #UkraineRussianWar #Mariupol https://t.co/w4PDcjmBgI
0,"RT @crypto_idea_coi: Playing on this game \x8e\xae #Bitcoin will never die.History teaches us how you can store value... on $BTCNo ban, no f"
1,#CloseTheSkyUkraine #UkraineRussianWar #StopPutinNOW @POTUS @NATO civilians don't have a chance for survival if the sky is not closed @UN
1,RT @brightinDarkk: We can now understand why the Chinese built alternatives to all western companies and businesses.Western sanctions wou
1,RT @ActionTime: Please #Retweet If You Agree:YES!!We Want #Peace Too!#HelpUkraineNOW!#SanctionRussiaNOW #PutinIsaWarCriminal #UkraineUnderA
1,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/VLTK7RTbxH
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,RT @salwangeorges: George Keburia said goodbye to his wife Maya and his children at the train station in Odessa #Ukraine tonight as they he
0,RT @Jaredogden6000: Whom Are You Supporting?#RussianUkrainianWar#UkraineRussianWar #Russia #Ukraine     Retweet
1,RT @Gadhwara27: #Ukraine Ukrainian security forces with a portable anti-aircraft missile system in #Kharkiv#Russia #UkraineRussianWar htt
1,RT @RF200_NOW: #UkraineRussianWar #Russia #Ukriane #Kyiv A Russian convoy with fuel trucks was totally annihilated near Kyiv as a result o
0,RT @Fidget02: 06/03/2022 #StandWithUkraine #Ukraine #Kharkiv #kyiv #Odesa #Volnovakha #Sumy #Mariupol #Irpin #UkraineRussianWar **Verified**
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
1,"I get it. I'm not an idiot Dad! I know the Western media are more shocked because it's #whites getting killed,okay https://t.co/YgvNjAFw0o"
1,06/03/2022 #StandWithUkraine #Ukraine #Kharkiv #kyiv #Odesa #Volnovakha #Sumy #Mariupol #Irpin #UkraineRussianWar * https://t.co/MOLg6VKBr6
1,RT @Billy1OPakistan: How The WW3 will look Like:8\x8228\x82#UkraineRussianWar #WWIII https://t.co/wcabFAkyIk
1,RT @Gadhwara27: #Ukraine Belarusian volunteers who are now fighting for Ukraine call on men to join them#UkraineUnderAttack #RussianInvasi
1,RT @TenLaughter: He is the Ukrainian man who steals Russian tanks.\xa4\xa3The most feared by Putin and the armed forces of the whole world.  \xa4\xa3\xa4\xa3B
1,"RT @dnchoudhry: 100,000 territorial Defence troops enlisted in #Ukraine within 10 days.c\x8a\xa6#PutinWarCrimes #UkraineRussianWar https://t.co"
1,"RT @dogefatherDEFI: #StandWithUkraine #dogefather #dogecoin #UkraineRussianWar Lorry full of #Starlink dishes has arrived in #Ukraine, wi"
0,RT @salwangeorges: George Keburia said goodbye to his wife Maya and his children at the train station in Odessa #Ukraine tonight as they he
0,#Ukrania #UkraineRussianWar  #RussianUkrainianWar #Zelensky #helicopter #ShotDown 1\xbc1\xbc1\xbc1\xbc1\xbc1\xbc1\xbc1\xbc Click watchhttps://t.co/7TAkOvuYCR
0,"RT @AnonOpsSE: But despite mass detentions, anti-war protests in Moscow continue.Protesters walk the streets in small groups chanting slo"
0,#StopPutinNOW #UkraineUnderAtta\xd1\x81k #UkraineRussianWar #Ukraine #UkraineRussia Humanity is divided into two worlds: https://t.co/6J6eedc6Vj
0,@ROCORinCardiff The head of the Russian Orthodox Church #patriarchkirill has commented that #putin9s enemies are ev https://t.co/oyaUjftiSa
0,RT @TheRaisedVoice: F-22 vs F-22 with \xa8\xb3 flag on it.WOW... Two completely different planes. No one would figure it out. Let's go with #Tr
